"ID","area_code","area_name","observe_time","data_time","solar_radiation","wind_direction_ten","wind_direction_hundred","wind_speed_ten","wind_speed_hundred"
454797,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 02:30:00.000000',0.0000,52.3700,NULL,1.5600,NULL
454798,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 02:45:00.000000',0.0000,NULL,NULL,NULL,2.3500
454799,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 02:45:00.000000',0.0000,63.9400,NULL,1.1800,NULL
454800,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 02:45:00.000000',0.0000,62.4600,61.5900,1.1700,2.2200
454801,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 02:45:00.000000',NULL,44.6600,55.4200,1.0600,2.6200
454802,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 02:45:00.000000',NULL,70.6600,NULL,0.6200,NULL
454803,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 02:45:00.000000',0.0000,58.8000,NULL,0.8200,1.7500
454804,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 02:45:00.000000',0.0000,NULL,65.2700,NULL,3.8600
454805,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 03:00:00.000000',0.0000,61.9800,67.0100,1.2700,2.4000
454806,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 03:00:00.000000',0.0000,61.9800,67.0100,NULL,2.4000
454807,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 03:00:00.000000',0.0000,60.2300,60.9400,1.2800,2.2700
454808,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 03:00:00.000000',0.0000,48.4400,55.7600,1.0200,2.6500
454809,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 03:00:00.000000',NULL,84.2600,67.3200,NULL,0.9400
454810,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 03:00:00.000000',NULL,62.1600,62.0700,0.8500,1.8100
454811,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 03:00:00.000000',0.0000,49.6700,65.5400,NULL,3.8700
454812,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 03:15:00.000000',0.0000,64.0400,66.7100,1.3400,2.4600
454813,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 03:15:00.000000',NULL,64.0400,66.7100,1.3400,2.4600
454814,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 03:15:00.000000',0.0000,61.5100,60.3200,1.3500,2.3200
454815,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 03:15:00.000000',0.0000,53.1400,56.0800,NULL,2.6800
454816,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 03:15:00.000000',0.0000,83.0200,68.2800,0.7300,NULL
454817,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 03:15:00.000000',0.0000,63.5900,61.9400,0.9100,1.8700
454818,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 03:15:00.000000',0.0000,NULL,NULL,1.2200,3.8700
454819,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 03:30:00.000000',0.0000,NULL,66.4300,1.4200,2.5100
454820,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 03:30:00.000000',0.0000,65.8800,66.4300,1.4200,2.5100
454821,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 03:30:00.000000',NULL,NULL,59.7300,NULL,2.3800
454822,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 03:30:00.000000',0.0000,57.9600,56.3900,NULL,2.7000
454823,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 03:30:00.000000',NULL,81.8900,69.2300,0.7600,0.9500
454824,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 03:30:00.000000',0.0000,64.8300,NULL,0.9700,NULL
454825,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 03:30:00.000000',0.0000,55.3400,66.0700,1.2100,NULL
454826,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 03:45:00.000000',0.0000,67.5500,66.1600,1.4900,NULL
454827,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 03:45:00.000000',0.0000,67.5500,NULL,1.4900,2.5600
454828,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 03:45:00.000000',NULL,63.6900,59.1600,1.5000,2.4300
454829,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 03:45:00.000000',0.0000,62.8300,56.7000,1.0000,2.7300
454830,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 03:45:00.000000',0.0000,80.8700,70.1700,0.8000,0.9500
454831,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 03:45:00.000000',0.0000,65.9300,61.7100,NULL,2.0000
454832,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 03:45:00.000000',0.0000,58.2200,66.3400,1.2100,3.8900
454833,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 04:00:00.000000',NULL,69.0500,NULL,1.5700,2.6200
454834,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 04:00:00.000000',0.0000,69.0500,65.9000,NULL,2.6200
454835,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 04:00:00.000000',0.0000,64.6300,58.6100,1.5700,2.4800
454836,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 04:00:00.000000',0.0000,NULL,NULL,NULL,2.7600
454837,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 04:00:00.000000',0.0000,79.9400,71.1000,NULL,0.9600
454838,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 04:00:00.000000',0.0000,66.9000,61.6100,1.1000,2.0600
454839,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 04:00:00.000000',0.0000,61.1000,66.6100,1.2100,NULL
454840,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 04:15:00.000000',0.0000,67.0900,65.6600,1.4300,NULL
454841,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 04:15:00.000000',NULL,67.0900,NULL,1.4300,2.6700
454842,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 04:15:00.000000',0.0000,63.9300,58.0900,NULL,2.5300
454843,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 04:15:00.000000',0.0000,57.9700,NULL,1.0300,NULL
454844,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 04:15:00.000000',0.0000,65.6600,72.0300,0.7200,0.9600
454845,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 04:15:00.000000',0.0000,63.8200,61.5100,1.1100,2.1300
454846,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 04:15:00.000000',NULL,57.5000,66.8700,1.4400,3.9000
454847,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 04:30:00.000000',NULL,64.7400,65.4200,NULL,2.7200
454848,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 04:30:00.000000',0.0000,64.7400,NULL,NULL,NULL
454849,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 04:30:00.000000',0.0000,63.0600,57.5800,1.2600,NULL
454850,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 04:30:00.000000',NULL,NULL,57.6000,1.0800,2.8200
454851,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 04:30:00.000000',0.0000,47.6400,72.9400,0.6700,0.9700
