"ID","area_code","area_name","observe_time","data_time","solar_radiation","wind_direction_ten","wind_direction_hundred","wind_speed_ten","wind_speed_hundred"
508463,'330822','常山县','2023-11-09 04:45:00.000000','2023-11-09 05:00:00.000000',NULL,34.0500,45.7700,1.2500,NULL
508464,'330824','开化县','2023-11-09 04:45:00.000000','2023-11-09 05:00:00.000000',0.0000,12.1400,51.1200,0.7700,NULL
508465,'330825','龙游县','2023-11-09 04:45:00.000000','2023-11-09 05:00:00.000000',0.0000,55.1100,60.0900,1.1600,2.4600
508466,'330881','江山市','2023-11-09 04:45:00.000000','2023-11-09 05:00:00.000000',NULL,51.4200,NULL,2.1400,4.1900
508467,'330800','衢州市','2023-11-09 05:00:00.000000','2023-11-09 05:15:00.000000',0.0000,61.6200,NULL,1.1600,2.9600
508468,'330802','柯城区','2023-11-09 05:00:00.000000','2023-11-09 05:15:00.000000',NULL,NULL,64.1100,NULL,NULL
508469,'330803','衢江区','2023-11-09 05:00:00.000000','2023-11-09 05:15:00.000000',NULL,60.2900,55.2700,1.0900,NULL
508470,'330822','常山县','2023-11-09 05:00:00.000000','2023-11-09 05:15:00.000000',0.0000,42.7600,41.9300,1.1500,3.1500
508471,'330824','开化县','2023-11-09 05:00:00.000000','2023-11-09 05:15:00.000000',0.0000,NULL,46.1000,0.6500,0.6000
508472,'330825','龙游县','2023-11-09 05:00:00.000000','2023-11-09 05:15:00.000000',NULL,55.3300,57.4600,1.1200,2.5400
508473,'330881','江山市','2023-11-09 05:00:00.000000','2023-11-09 05:15:00.000000',NULL,52.5800,59.7300,1.9500,NULL
508474,'330800','衢州市','2023-11-09 05:15:00.000000','2023-11-09 05:30:00.000000',0.0000,64.3800,60.6400,NULL,2.9900
508475,'330802','柯城区','2023-11-09 05:15:00.000000','2023-11-09 05:30:00.000000',0.0000,NULL,60.6400,1.2700,NULL
508476,'330803','衢江区','2023-11-09 05:15:00.000000','2023-11-09 05:30:00.000000',0.0000,60.1500,51.8500,1.2400,3.1300
508477,'330822','常山县','2023-11-09 05:15:00.000000','2023-11-09 05:30:00.000000',0.0000,52.8100,38.3100,1.0900,NULL
508478,'330824','开化县','2023-11-09 05:15:00.000000','2023-11-09 05:30:00.000000',NULL,59.9600,NULL,0.6500,0.7000
508479,'330825','龙游县','2023-11-09 05:15:00.000000','2023-11-09 05:30:00.000000',0.0000,55.5600,55.0100,1.0800,2.6300
508480,'330881','江山市','2023-11-09 05:15:00.000000','2023-11-09 05:30:00.000000',0.0000,NULL,58.0900,1.7500,4.4500
508481,'330800','衢州市','2023-11-09 05:30:00.000000','2023-11-09 05:45:00.000000',NULL,66.6800,57.2700,1.3900,NULL
508482,'330802','柯城区','2023-11-09 05:30:00.000000','2023-11-09 05:45:00.000000',0.0000,66.6800,57.2700,1.3900,3.0400
