"ID","area_code","area_name","observe_time","data_time","rain","temperature","humidity","solar_radiation","wind_direction_ten","wind_direction_hundred","wind_speed_ten","wind_speed_hundred","cloud_amount"
43113,'330802','柯城区','2023-11-10 08:00:00.000000','2023-11-10 11:00:00.000000',0.3200,16.3200,61.3500,286.2400,45.9400,43.9900,6.1200,9.5100,100.0000
43114,'330803','衢江区','2023-11-10 08:00:00.000000','2023-11-10 08:00:00.000000',0.0000,NULL,82.7300,131.5600,NULL,NULL,4.3500,7.2700,NULL
43115,'330802','柯城区','2023-11-10 08:00:00.000000','2023-11-10 08:00:00.000000',0.0000,16.5700,NULL,NULL,53.6600,51.9100,4.9100,8.1900,100.0000
43116,'330800','衢州市','2023-11-10 08:00:00.000000','2023-11-10 17:00:00.000000',0.0000,13.9800,50.1700,NULL,51.7000,51.0000,6.3700,9.8900,100.0000
43117,'330881','江山市','2023-11-10 08:00:00.000000','2023-11-10 11:00:00.000000',0.1500,16.5700,64.6000,287.2100,49.6500,50.9500,7.1400,10.6200,100.0000
43118,'330881','江山市','2023-11-10 08:00:00.000000','2023-11-10 08:00:00.000000',0.0000,15.7100,91.6300,130.6500,NULL,52.7800,5.8000,9.1600,NULL
43119,'330803','衢江区','2023-11-10 08:00:00.000000','2023-11-10 17:00:00.000000',0.0000,NULL,50.0400,13.1700,47.7100,NULL,NULL,8.5500,100.0000
43120,'330800','衢州市','2023-11-10 08:00:00.000000','2023-11-10 14:00:00.000000',0.0000,NULL,49.4900,235.6200,51.5200,50.6200,7.0200,NULL,100.0000
43121,'330800','衢州市','2023-11-10 20:00:00.000000','2023-11-10 23:00:00.000000',0.5700,12.7100,59.8100,0.0000,58.1000,NULL,5.4200,8.6100,100.0000
43122,'330803','衢江区','2023-11-10 20:00:00.000000','2023-11-10 23:00:00.000000',0.4700,NULL,59.3000,0.0000,56.7300,58.0000,4.9400,7.7000,100.0000
43123,'330800','衢州市','2023-11-10 20:00:00.000000','2023-11-11 02:00:00.000000',3.8100,11.8600,NULL,0.0000,NULL,50.8900,5.4100,8.9900,100.0000
43124,'330802','柯城区','2023-11-10 20:00:00.000000','2023-11-10 23:00:00.000000',0.5700,12.7100,59.8100,0.0000,NULL,NULL,5.4200,8.6100,100.0000
43125,'330803','衢江区','2023-11-10 20:00:00.000000','2023-11-11 02:00:00.000000',3.9600,12.1500,80.1200,0.0000,46.8800,49.1200,NULL,8.3400,100.0000
43126,'330881','江山市','2023-11-10 20:00:00.000000','2023-11-10 23:00:00.000000',1.0100,11.6600,73.9900,0.0000,54.4300,56.4000,6.5600,10.6600,100.0000
43127,'330881','江山市','2023-11-10 20:00:00.000000','2023-11-10 20:00:00.000000',0.0000,NULL,71.4600,0.0000,53.8100,55.0300,7.2000,11.2300,100.0000
43128,'330881','江山市','2023-11-10 20:00:00.000000','2023-11-11 02:00:00.000000',2.2500,11.0800,NULL,0.0000,NULL,51.4800,NULL,9.6900,100.0000
43129,'330802','柯城区','2023-11-10 20:00:00.000000','2023-11-11 02:00:00.000000',3.8100,NULL,78.6100,NULL,50.3000,NULL,5.4100,8.9900,100.0000
43130,'330800','衢州市','2023-11-10 20:00:00.000000','2023-11-11 05:00:00.000000',6.6300,11.4900,78.4500,0.0000,47.9700,47.9300,5.1400,8.6500,100.0000
43131,'330803','衢江区','2023-11-10 20:00:00.000000','2023-11-11 05:00:00.000000',6.1800,11.7600,80.8500,0.0000,45.5500,46.8200,NULL,7.9200,100.0000
43132,'330802','柯城区','2023-11-10 20:00:00.000000','2023-11-11 05:00:00.000000',6.6300,NULL,78.4500,0.0000,47.9700,47.9300,NULL,8.6500,100.0000
43133,'330881','江山市','2023-11-10 20:00:00.000000','2023-11-11 05:00:00.000000',NULL,10.6700,90.4400,0.0000,NULL,49.7600,6.2500,NULL,99.3700
43134,'330825','龙游县','2023-11-10 20:00:00.000000','2023-11-10 23:00:00.000000',NULL,13.2100,NULL,0.0000,64.1100,63.8500,3.7600,NULL,100.0000
43135,'330825','龙游县','2023-11-10 20:00:00.000000','2023-11-10 20:00:00.000000',0.0000,13.7300,60.9100,0.0000,55.5400,57.3800,3.6900,5.5800,100.0000
43136,'330824','开化县','2023-11-10 20:00:00.000000','2023-11-10 23:00:00.000000',1.1900,NULL,69.7800,0.0000,35.9900,44.0900,2.2200,NULL,100.0000
43137,'330824','开化县','2023-11-10 20:00:00.000000','2023-11-10 20:00:00.000000',NULL,12.9500,64.1600,0.0000,NULL,46.9500,3.4600,5.4800,100.0000
43138,'330825','龙游县','2023-11-10 20:00:00.000000','2023-11-11 05:00:00.000000',5.6400,NULL,83.2300,0.0000,49.8600,52.0000,3.6000,5.9700,NULL
43139,'330825','龙游县','2023-11-10 20:00:00.000000','2023-11-11 02:00:00.000000',NULL,12.2500,80.8800,0.0000,52.0200,54.5200,4.0300,6.6100,100.0000
43140,'330824','开化县','2023-11-10 20:00:00.000000','2023-11-11 05:00:00.000000',4.2000,10.9400,78.7900,0.0000,20.9700,30.2800,3.0600,NULL,92.8000
43141,'330824','开化县','2023-11-10 20:00:00.000000','2023-11-11 02:00:00.000000',4.8200,11.3100,80.9800,NULL,20.7200,NULL,2.4300,4.6400,100.0000
43142,'330822','常山县','2023-11-10 20:00:00.000000','2023-11-10 20:00:00.000000',0.0000,12.6900,65.4100,0.0000,57.6500,NULL,NULL,9.3000,100.0000
43143,'330822','常山县','2023-11-10 20:00:00.000000','2023-11-10 23:00:00.000000',0.9900,12.0100,64.8600,0.0000,NULL,NULL,5.1700,8.5500,100.0000
43144,'330822','常山县','2023-11-10 20:00:00.000000','2023-11-11 05:00:00.000000',5.6600,11.1600,NULL,0.0000,NULL,47.9000,4.1200,7.2100,100.0000
43145,'330822','常山县','2023-11-10 20:00:00.000000','2023-11-11 02:00:00.000000',6.6500,NULL,NULL,0.0000,51.4200,56.9800,4.2500,7.4500,100.0000
43146,'330800','衢州市','2023-11-10 20:00:00.000000','2023-11-10 20:00:00.000000',0.0000,13.2100,NULL,0.0000,NULL,53.9000,5.8300,9.1400,100.0000
43147,'330803','衢江区','2023-11-10 20:00:00.000000','2023-11-10 20:00:00.000000',NULL,NULL,63.0600,0.0000,51.8700,52.7400,5.2500,NULL,100.0000
43148,'330802','柯城区','2023-11-10 20:00:00.000000','2023-11-10 20:00:00.000000',NULL,NULL,64.0100,0.0000,54.0700,NULL,5.8300,9.1400,100.0000
43149,'330800','衢州市','2023-11-11 08:00:00.000000','2023-11-11 11:00:00.000000',1.3400,14.0600,NULL,284.9800,64.6700,NULL,6.1800,8.7900,100.0000
43150,'330803','衢江区','2023-11-11 08:00:00.000000','2023-11-11 11:00:00.000000',2.3100,14.3400,55.2600,285.2100,NULL,65.3600,5.8000,NULL,100.0000
43151,'330800','衢州市','2023-11-11 08:00:00.000000','2023-11-11 08:00:00.000000',0.0000,NULL,74.3600,NULL,53.7400,NULL,5.0900,8.0500,NULL
43152,'330802','柯城区','2023-11-11 08:00:00.000000','2023-11-11 11:00:00.000000',1.3400,NULL,56.3500,284.9800,64.6700,64.1600,6.1800,8.7900,100.0000
43153,'330803','衢江区','2023-11-11 08:00:00.000000','2023-11-11 08:00:00.000000',0.0000,12.0700,77.6100,130.2700,48.4200,49.0700,4.7700,NULL,100.0000
43154,'330800','衢州市','2023-11-11 08:00:00.000000','2023-11-11 17:00:00.000000',2.2200,13.1200,82.4700,15.2300,NULL,65.5600,3.9800,6.8200,100.0000
43155,'330802','柯城区','2023-11-11 08:00:00.000000','2023-11-11 08:00:00.000000',0.0000,NULL,74.3600,129.6500,53.7400,52.9700,5.0900,8.0500,NULL
43156,'330803','衢江区','2023-11-11 08:00:00.000000','2023-11-11 17:00:00.000000',NULL,13.3600,82.2900,14.5600,68.7600,69.2800,3.7300,6.3800,NULL
43157,'330800','衢州市','2023-11-11 08:00:00.000000','2023-11-11 14:00:00.000000',3.6800,NULL,78.8100,234.1700,66.8100,67.6300,4.3100,7.0300,NULL
43158,'330802','柯城区','2023-11-11 08:00:00.000000','2023-11-11 17:00:00.000000',NULL,13.1200,82.4700,NULL,NULL,65.5600,3.9800,6.8200,100.0000
43159,'330803','衢江区','2023-11-11 08:00:00.000000','2023-11-11 14:00:00.000000',3.6400,13.7200,NULL,233.7000,69.5700,71.2400,4.2100,NULL,100.0000
43160,'330881','江山市','2023-11-11 08:00:00.000000','2023-11-11 11:00:00.000000',2.2200,12.7100,69.0600,NULL,54.9000,55.7100,6.5600,9.5400,100.0000
43161,'330881','江山市','2023-11-11 08:00:00.000000','2023-11-11 08:00:00.000000',0.0000,11.0000,89.3400,129.3600,51.2500,NULL,5.8600,9.5000,99.6100
43162,'330802','柯城区','2023-11-11 08:00:00.000000','2023-11-11 14:00:00.000000',3.6800,NULL,78.8100,NULL,66.8100,67.6300,4.3100,NULL,100.0000
43163,'330881','江山市','2023-11-11 08:00:00.000000','2023-11-11 17:00:00.000000',2.2500,NULL,86.4400,11.0500,NULL,54.3200,5.3100,8.9500,100.0000
43164,'330881','江山市','2023-11-11 08:00:00.000000','2023-11-11 14:00:00.000000',1.8200,NULL,83.2800,235.8200,45.5900,50.4700,4.8700,NULL,NULL
43165,'330825','龙游县','2023-11-11 08:00:00.000000','2023-11-11 14:00:00.000000',NULL,13.6600,78.7000,232.6200,80.2200,80.7800,NULL,6.1000,NULL
43166,'330824','开化县','2023-11-11 08:00:00.000000','2023-11-11 14:00:00.000000',1.5000,14.4000,NULL,234.7300,43.7000,43.6800,NULL,3.7500,100.0000
43167,'330825','龙游县','2023-11-11 08:00:00.000000','2023-11-11 11:00:00.000000',1.3300,14.5300,54.2800,285.2700,70.8100,70.4300,4.9100,6.6900,100.0000
43168,'330825','龙游县','2023-11-11 08:00:00.000000','2023-11-11 08:00:00.000000',0.0000,11.9700,79.3300,131.1100,NULL,57.1300,NULL,5.9700,99.8500
43169,'330824','开化县','2023-11-11 08:00:00.000000','2023-11-11 11:00:00.000000',0.0000,15.0400,NULL,283.7400,57.1500,57.4400,3.2000,4.4900,NULL
43170,'330824','开化县','2023-11-11 08:00:00.000000','2023-11-11 08:00:00.000000',NULL,12.0500,70.5900,126.9500,NULL,38.2300,NULL,NULL,NULL
43171,'330825','龙游县','2023-11-11 08:00:00.000000','2023-11-11 17:00:00.000000',2.2700,13.4100,81.7400,8.3200,NULL,NULL,2.9700,NULL,100.0000
43172,'330824','开化县','2023-11-11 08:00:00.000000','2023-11-11 17:00:00.000000',1.8200,12.8000,NULL,8.1500,23.6600,33.0200,2.1700,4.1700,100.0000
43173,'330822','常山县','2023-11-11 08:00:00.000000','2023-11-11 11:00:00.000000',3.2500,12.9400,68.2000,285.2200,66.3500,NULL,5.8700,8.4700,NULL
43174,'330822','常山县','2023-11-11 08:00:00.000000','2023-11-11 08:00:00.000000',0.0000,11.9200,75.0300,128.0000,58.5100,61.4000,4.5200,7.2500,94.0000
43175,'330822','常山县','2023-11-11 08:00:00.000000','2023-11-11 17:00:00.000000',NULL,12.6100,NULL,1.2700,56.4800,60.3300,3.6400,6.4100,100.0000
43176,'330822','常山县','2023-11-11 08:00:00.000000','2023-11-11 14:00:00.000000',2.4300,12.9400,80.2500,235.6600,NULL,60.2300,3.7800,6.1300,100.0000
43177,'330800','衢州市','2023-11-11 20:00:00.000000','2023-11-11 20:00:00.000000',0.0000,12.4300,NULL,0.0000,56.8100,55.7000,4.2900,7.2700,100.0000
43178,'330803','衢江区','2023-11-11 20:00:00.000000','2023-11-11 20:00:00.000000',0.0000,12.6800,86.0500,NULL,55.2100,55.6800,NULL,6.7200,100.0000
43179,'330802','柯城区','2023-11-11 20:00:00.000000','2023-11-11 20:00:00.000000',0.0000,12.4300,83.6900,0.0000,56.8100,55.7000,4.2900,NULL,100.0000
